Team,hr9,hr9nr,kPerc,kPercn,BBPerc,BBPercnr,WHIP,WHIPnr,BABIP,BABIPnr,FIP,FIPnr
Cardinals,0.68,1,0.216,0.682926829,0.075,0.483870968,1.2,0.857142857,0.288,0.795454545,3.32,1
Mets,0.86,0.647058824,0.215,0.670731707,0.063,0.870967742,1.15,1,0.28,0.977272727,3.44,0.90625
Pirates,0.69,0.980392157,0.209,0.597560976,0.074,0.516129032,1.27,0.657142857,0.307,0.363636364,3.45,0.8984375
Cubs,0.82,0.725490196,0.232,0.87804878,0.070,0.64516129,1.18,0.914285714,0.29,0.75,3.32,1
Astros,0.85,0.666666667,0.205,0.548780488,0.072,0.580645161,1.19,0.885714286,0.281,0.954545455,3.61,0.7734375
Athletics,0.84,0.68627451,0.206,0.56097561,0.073,0.548387097,1.2,0.857142857,0.281,0.954545455,3.61,0.7734375
Dodgers,0.88,0.607843137,0.237,0.93902439,0.069,0.677419355,1.21,0.828571429,0.303,0.454545455,3.37,0.9609375
Rays,1.01,0.352941176,0.223,0.768292683,0.078,0.387096774,1.2,0.857142857,0.279,1,3.78,0.640625
Royals,0.86,0.647058824,0.181,0.256097561,0.080,0.322580645,1.26,0.685714286,0.28,0.977272727,3.93,0.5234375
Nationals,0.83,0.705882353,0.218,0.707317073,0.059,1,1.23,0.771428571,0.307,0.363636364,3.33,0.9921875
Angels,1.03,0.31372549,0.200,0.487804878,0.069,0.677419355,1.22,0.8,0.281,0.954545455,3.92,0.53125
Giants,0.92,0.529411765,0.193,0.402439024,0.072,0.580645161,1.25,0.714285714,0.288,0.795454545,3.84,0.59375
Orioles,1.07,0.235294118,0.204,0.536585366,0.078,0.387096774,1.27,0.657142857,0.289,0.772727273,4.03,0.4453125
Blue Jays,1,0.37254902,0.187,0.329268293,0.070,0.64516129,1.23,0.771428571,0.28,0.977272727,3.99,0.4765625
Indians,1.03,0.31372549,0.242,1,0.072,0.580645161,1.21,0.828571429,0.296,0.613636364,3.59,0.7890625
Yankees,1.05,0.274509804,0.220,0.731707317,0.070,0.64516129,1.26,0.685714286,0.298,0.568181818,3.77,0.6484375
Marlins,0.81,0.745098039,0.192,0.390243902,0.075,0.483870968,1.27,0.657142857,0.292,0.704545455,3.7,0.703125
Mariners,1.09,0.196078431,0.209,0.597560976,0.078,0.387096774,1.26,0.685714286,0.289,0.772727273,4.02,0.453125
Padres,1.09,0.196078431,0.219,0.719512195,0.080,0.322580645,1.28,0.628571429,0.295,0.636363636,3.96,0.5
Reds,0.97,0.431372549,0.191,0.37804878,0.088,0.064516129,1.3,0.571428571,0.281,0.954545455,4.12,0.375
White Sox,0.91,0.549019608,0.218,0.707317073,0.075,0.483870968,1.33,0.485714286,0.316,0.159090909,3.66,0.734375
Diamondbacks,1.11,0.156862745,0.190,0.365853659,0.075,0.483870968,1.3,0.571428571,0.29,0.75,4.15,0.3515625
Braves,0.98,0.411764706,0.188,0.341463415,0.085,0.161290323,1.38,0.342857143,0.306,0.386363636,4.12,0.375
Brewers,1.09,0.196078431,0.207,0.573170732,0.078,0.387096774,1.32,0.514285714,0.3,0.522727273,4.03,0.4453125
Twins,1.12,0.137254902,0.160,0,0.065,0.806451613,1.34,0.457142857,0.299,0.545454545,4.27,0.2578125
Tigers,1.14,0.098039216,0.181,0.256097561,0.075,0.483870968,1.36,0.4,0.303,0.454545455,4.26,0.265625
Rangers,1.15,0.078431373,0.170,0.12195122,0.085,0.161290323,1.4,0.285714286,0.293,0.681818182,4.53,0.0546875
Red Sox,1.13,0.117647059,0.194,0.414634146,0.077,0.419354839,1.38,0.342857143,0.308,0.340909091,4.2,0.3125
Phillies,1.13,0.117647059,0.182,0.268292683,0.077,0.419354839,1.47,0.085714286,0.323,0,4.28,0.25
Rockies,1.19,0,0.173,0.158536585,0.090,0,1.5,0,0.314,0.204545455,4.6,0
